topic,source,target,relation,note
红楼梦,狗儿,板儿,父亲,
红楼梦,狗儿,青儿,父亲,
红楼梦,玉爱,贾宝玉,同学,
红楼梦,王嬷嬷,林黛玉,奶妈,
红楼梦,王子腾,王氏,哥哥,
红楼梦,王子腾,薛姨妈,哥哥,
红楼梦,王成,狗儿,父亲,
红楼梦,王成,王氏,认亲,其父亲认王夫人父亲为侄子。
红楼梦,王氏,王熙凤,姑姑,
红楼梦,王氏,薛姨妈,姐姐,
红楼梦,王氏,贾元春,母亲,
红楼梦,王氏,贾宝玉,母亲,
红楼梦,王氏,贾珠,母亲,
红楼梦,王氏(薛潘母),王氏,姐妹,
红楼梦,王氏(薛潘母),薛宝钗,母亲,
红楼梦,王熙凤,刘姥姥,救济,给20两银子打发。
红楼梦,王熙凤,贾巧姐,母亲,
红楼梦,王熙凤,贾瑞,嫂子,
红楼梦,甄费,奶母,雇主,
红楼梦,甄费,英莲,女儿,
红楼梦,甄费,贾化,邻居，朋友,
红楼梦,甄费,霍启,家人,
红楼梦,疯跛道人,甄费,带走,带着一起离家出走了。
红楼梦,痴梦仙姑,警幻仙姑,姐妹,
红楼梦,秦业,秦可卿,养父,
红楼梦,秦业,秦钟,父亲,
红楼梦,秦可卿,秦钟,姐姐,
红楼梦,秦可卿,贾宝玉,带入梦境,带宝玉到房间，进入十二钗幻境。
红楼梦,秦氏,贾宝玉,带入梦境,带宝玉到房间，进入十二钗幻境。
红楼梦,秦钟,贾宝玉,陪读,
红楼梦,紫鹃,史老夫人,前丫鬟,
红楼梦,紫鹃,林黛玉,丫鬟,
红楼梦,英莲拐子,冯渊,卖给,同时把英莲卖给两家。
红楼梦,英莲拐子,英莲,拐走,
红楼梦,英莲拐子,薛蟠,卖给,同时把英莲卖给两家。
红楼梦,茜雪,李嬷嬷,讨好,把宝玉的茶给李奶奶，惹怒宝玉。
红楼梦,茜雪,贾宝玉,丫鬟,
红楼梦,荣国公,穆莳,世交,
红楼梦,荣国公,贾代善,父亲,
红楼梦,莺儿,薛宝钗,丫鬟,
红楼梦,葫芦庙沙弥,英莲,安慰,与英莲玩耍，安慰她卖给冯渊。
红楼梦,葫芦庙沙弥,贾化,下属,提示贾雨川不要抓捕薛家，并给护官符。
红楼梦,薛姨妈,薛蟠,表哥,
红楼梦,薛蟠,冯渊,打死,抢英莲然后打死。
红楼梦,薛蟠,薛宝钗,哥哥,
红楼梦,袭人,史老夫人,前丫鬟,
红楼梦,袭人,贾宝玉,丫鬟,
红楼梦,詹光,贾宝玉,碰到,
红楼梦,警幻仙姑,贾宝玉,引导,引导进入太虚幻境。
红楼梦,贾代儒,秦钟,老师,
红楼梦,贾代儒,薛蟠,老师,
红楼梦,贾代儒,贾宝玉,老师,
红楼梦,贾代儒,贾瑞,爷爷,
红楼梦,贾代化,贾敬,父亲,
红楼梦,贾代化,贾敷,父亲,
红楼梦,贾代善,史老夫人,丈夫,
红楼梦,贾代善,贾政,父亲,
红楼梦,贾代善,贾赦,父亲,
红楼梦,贾元春,贾宝玉,姐姐,
红楼梦,贾化,娇杏,丈夫,一开始不是正室，后正妻去世扶为正妻。
红楼梦,贾化,张如圭,旧同事,
红楼梦,贾化,林黛玉,老师,
红楼梦,贾化,王子腾,卖人情,放过薛潘，然后书信让其放心。
红楼梦,贾化,薛蟠,放过,徇情枉法，胡乱判断了杀人案，放过了。
红楼梦,贾宝玉,茜雪,生气,把宝玉的茶给李奶奶，惹怒宝玉。
红楼梦,贾宝玉,袭人,云雨之情,宝玉从环境出来，梦遗，然后与袭人偷试一番。
红楼梦,贾宝玉,贾环,哥哥,
红楼梦,贾政,王氏,丈夫,
红楼梦,贾政,贾元春,父亲,
红楼梦,贾政,贾化,提拔,题奏之日，轻轻谋了一个复职候缺，不上两个月，金陵应天府缺出，便谋补了此缺，拜辞了贾政，择日上任去了。
红楼梦,贾政,贾宝玉,父亲,
红楼梦,贾政,贾探春,父亲,
红楼梦,贾政,贾敏,哥哥,
红楼梦,贾政,贾环,父亲,
红楼梦,贾政,贾珠,父亲,
红楼梦,贾政,赵姨娘,丈夫,
红楼梦,贾敏,林黛玉,母亲,
红楼梦,贾敬,贾珍,父亲,
红楼梦,贾敷,贾敬,哥哥,
红楼梦,贾珍,尤氏,丈夫,
红楼梦,贾珍,贾惜春,哥哥,
红楼梦,贾珍,贾蓉,父亲,
红楼梦,贾珠,李氏,丈夫,
红楼梦,贾珠,李纨,丈夫,
红楼梦,贾珠,贾元春,哥哥,
红楼梦,贾珠,贾兰,父亲,
红楼梦,贾珠,贾宝玉,哥哥,
红楼梦,贾琏,王熙凤,丈夫,
红楼梦,贾琏,贾巧姐,父亲,
红楼梦,贾蓉,焦大,捆绑,因醉酒闹事，和凤姐一起捆绑。
红楼梦,贾蓉,秦可卿,丈夫,
红楼梦,贾蓉,秦氏,丈夫,
红楼梦,贾赦,贾政,哥哥,
红楼梦,贾赦,贾琏,父亲,
红楼梦,贾赦,贾迎春,父亲,
红楼梦,贾赦,邢氏,丈夫,
红楼梦,赵姨娘,贾环,母亲,
红楼梦,金钏儿,王氏,丫鬟,
红楼梦,钟情大士,警幻仙姑,姐妹,
红楼梦,雪雁,林黛玉,丫鬟,
红楼梦,霍启,英莲,丢失,元宵节带出去但要小解导致走丢了。
红楼梦,香怜,贾宝玉,同学,
红楼梦,麝月,贾宝玉,丫鬟,
